location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR
ngc6539_ejected,7.5,0.09555101,0.155797392,25.002567,22.68924,0.03261428
ngc5272_ejected,9.7,0.146133272,0.649845869,16.268251,16.535731,0.031875281
ngc6541_ejected,7.2,0.07491425,0.343034117,13.223985,11.191126,0.03186613
ngc2808_ejected,8.9,0.116533953,0.139643827,27.987063,40.5,0.03152913
ngc104_ejected,4.1,0.269231501,0.770021754,16.591571,19.601134,0.031296136
ngc5986_ejected,10.0,0.146133272,0.649845869,16.268251,16.535731,0.030919022
ngc2808_ejected,8.9,0.088144268,0.139771465,21.044207,23.93546,0.030691515
ngc5139_ejected,4.9,0.156000709,0.276586883,40.5,29.012705,0.030630265
ngc6440_ejected,7.5,0.07491425,0.343034117,13.223985,11.191126,0.030591485
ngc6441_ejected,9.2,0.116533953,0.139643827,27.987063,40.5,0.030501006
ngc6121_ejected,2.1,0.157243929,0.52937889,16.425697,15.308624,0.030332898
ngc6352_ejected,5.3,0.09157212,0.139201697,15.432244,25.563285,0.030179631
ngc6293_ejected,8.6,0.077884001,0.097924819,13.419884,27.28007,0.030145463
ngc7078_ejected,10.0,0.15657409,0.653638425,19.364551,16.169325,0.030118923
ngc5904_ejected,7.0,0.135220338,0.676860192,12.738208,10.914623,0.029924286
ngc288_ejected,8.1,0.484604754,0.806107086,41.328414,42.168294,0.029893207
ngc6441_ejected,9.2,0.088144268,0.139771465,21.044207,23.93546,0.029690705
ngc5904_ejected,7.0,0.079197844,0.075110636,22.001998,16.731381,0.029494226
ngc6273_ejected,8.3,0.09555101,0.155797392,25.002567,22.68924,0.029470735
ngc6528_ejected,7.0,0.157024755,0.700917114,15.394497,11.298019,0.029367131
ngc6656_ejected,3.1,0.16852993,0.464649404,30.74269,16.422003,0.029308989
ngc6402_ejected,8.4,0.09555101,0.155797392,25.002567,22.68924,0.029119893
ngc6121_ejected,2.1,0.229089352,0.705234644,13.580822,17.143571,0.029038693
pal_6_ejected,6.2,0.222766636,0.828452851,14.845617,7.4624525,0.028619815
ngc6293_ejected,8.6,0.125727817,0.518302526,16.936509,19.120388,0.028499464
ngc5139_ejected,4.9,0.128064163,0.23250568,29.15621,25.109518,0.028065753
ngc7078_ejected,10.0,0.116533953,0.139643827,27.987063,40.5,0.028060926
ngc6171_ejected,6.0,0.178360016,0.582403046,16.799847,28.695917,0.027895934
ngc6553_ejected,4.1,0.221261944,0.807797266,12.267005,9.1000176,0.027869928
ngc7089_ejected,11.1,0.146133272,0.649845869,16.268251,16.535731,0.027854975
ngc6388_ejected,10.9,0.15657409,0.653638425,19.364551,16.169325,0.027632039
ngc6205_ejected,6.8,0.192193293,0.725822039,16.178455,14.783603,0.027489766
ngc7078_ejected,10.0,0.088144268,0.139771465,21.044207,23.93546,0.027315449
ngc6712_ejected,6.4,0.294029515,0.64370441,34.792666,41.570523,0.026884909
ngc3201_ejected,4.9,0.196808627,0.653953892,19.318121,18.607982,0.026847385
ngc6752_ejected,3.8,0.198732205,0.706591961,14.462256,14.620061,0.026721027
ngc3201_ejected,4.9,0.450046208,0.773885825,34.582551,40.097545,0.026659919
ngc4833_ejected,5.7,0.53639358,0.90313,21.005738,15.523407,0.026561339
ngc6544_ejected,2.4,0.218959127,0.687599562,14.495676,16.673811,0.026415774
ngc362_ejected,8.0,0.135220338,0.676860192,12.738208,10.914623,0.026183751
ngc6341_ejected,8.0,0.135220338,0.676860192,12.738208,10.914623,0.026183751
ngc5824_ejected,32.2,0.053143114,0.187870201,12.249768,16.922931,0.026178943
ngc6171_ejected,6.0,0.209818346,0.418063834,41.402011,40.871256,0.026040096
ngc2808_ejected,8.9,0.140946678,0.558276977,17.921491,19.638828,0.025947027
ngc362_ejected,8.0,0.079197844,0.075110636,22.001998,16.731381,0.025807448
ngc6341_ejected,8.0,0.079197844,0.075110636,22.001998,16.731381,0.025807448
ngc6723_ejected,8.2,0.191396419,0.446672601,32.966793,41.829396,0.02580654
ngc6388_ejected,10.9,0.116533953,0.139643827,27.987063,40.5,0.025743968
Liller1_ejected,10.2,0.07218088,0.403543643,14.829936,7.4131067,0.025580651
ngc6139_ejected,9.1,0.07491425,0.343034117,13.223985,11.191126,0.025212762
